id,case_no,status,firs,summary_en,primary_crime_type,latest_date
CASE_1,202400001,Pending Trial,"[""FIR_1""]","The complainant reported that Anitha died following an altercation with his neighbour near College Road, suspected to involve an extramarital affair suspicion.",Culpable Homicide,2024-09-26
CASE_2,202500001,Pending Trial,"[""FIR_2""]",The complainant reported an incident related to crimes against children occurring near Old Town. Investigation is underway to ascertain further facts.,Child Labour,2025-08-07
CASE_3,202400001,Under Investigation,"[""FIR_3""]","Unknown persons broke into the complainant's premises at Old Town at night and decamped with valuables worth Rs 311,000.",Burglary,2024-06-15
CASE_4,202500001,Convicted,"[""FIR_4""]","Unknown persons broke into the complainant's premises at Ring Road at night and decamped with valuables worth Rs 438,000.",Burglary,2025-12-19
CASE_5,202600001,Under Investigation,"[""FIR_5""]","The complainant stated that a known acquaintance assaulted them near Industrial Layout following an argument over past enmity, causing hurt.",Assault,2026-06-03
CASE_6,202400001,Acquitted,"[""FIR_6""]","A police patrol near Station Road intercepted a vehicle and recovered narcotic substances weighing 3.4 kg, suspected to be in transit for sale.",NDPS Trafficking,2024-09-04
CASE_7,202400001,Charge Sheeted,"[""FIR_7""]","Unknown persons broke into the complainant's premises at Industrial Layout at night and decamped with valuables worth Rs 219,000.",Burglary,2024-05-19
CASE_8,202600001,Convicted,"[""FIR_8""]","The complainant received a call from an unknown person claiming to be a bank official, who obtained OTP details and transferred Rs 436,000 from the complainant's account.",Online Fraud,2026-06-06
CASE_9,202500001,Under Investigation,"[""FIR_9""]",The complainant reported that her in-laws made unwelcome advances and passed lewd remarks towards her near Ring Road.,Sexual Harassment,2025-10-24
CASE_10,202400001,Charge Sheeted,"[""FIR_10""]","The complainant's laptop was stolen from outside their residence at College Road, valued at approximately Rs 165,000.",Theft,2024-12-08
CASE_11,202500001,Pending Trial,"[""FIR_11""]","The complainant's two-wheeler was stolen from outside their residence at College Road, valued at approximately Rs 361,000.",Theft,2025-01-08
CASE_12,202500001,Charge Sheeted,"[""FIR_12""]","Unknown persons broke into the complainant's premises at Gandhi Nagar at night and decamped with valuables worth Rs 207,000.",Burglary,2025-08-20
