CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,200120146202400001,202400001,2024-09-26,100,146,2,3,1,3,7,13,2024-09-23 00:00:00,2024-09-24 00:00:00,2024-09-25 00:00:00,14.497149,75.936116,"The complainant reported that Anitha died following an altercation with his neighbour near College Road, suspected to involve an extramarital affair suspicion."
2,200200161202500001,202500001,2025-08-07,19,161,2,2,4,18,7,1,2025-08-05 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,15.328438,76.14819,The complainant reported an incident related to crimes against children occurring near Old Town. Investigation is underway to ascertain further facts.
3,100250175202400001,202400001,2024-06-15,135,175,1,2,2,9,1,,2024-06-13 00:00:00,2024-06-15 00:00:00,2024-06-15 00:00:00,13.945979,75.511798,"Unknown persons broke into the complainant's premises at Old Town at night and decamped with valuables worth Rs 311,000."
4,100110143202500001,202500001,2025-12-19,97,143,1,1,2,9,3,1,2025-12-18 00:00:00,2025-12-20 00:00:00,2025-12-19 00:00:00,12.864917,74.807862,"Unknown persons broke into the complainant's premises at Ring Road at night and decamped with valuables worth Rs 438,000."
5,100050117202600001,202600001,2026-06-03,133,117,1,1,1,4,1,,2026-06-03 00:00:00,2026-06-03 00:00:00,2026-06-03 00:00:00,12.993592,77.612514,"The complainant stated that a known acquaintance assaulted them near Industrial Layout following an argument over past enmity, causing hurt."
6,200050115202400001,202400001,2024-09-04,83,115,2,1,8,33,4,33,2024-08-28 00:00:00,2024-08-28 00:00:00,2024-08-28 00:00:00,12.967721,77.672338,"A police patrol near Station Road intercepted a vehicle and recovered narcotic substances weighing 3.4 kg, suspected to be in transit for sale."
7,400050116202400001,202400001,2024-05-19,10,116,4,2,2,9,2,36,2024-05-14 00:00:00,2024-05-14 00:00:00,2024-05-19 00:00:00,12.938462,77.642636,"Unknown persons broke into the complainant's premises at Industrial Layout at night and decamped with valuables worth Rs 219,000."
8,100050126202600001,202600001,2026-06-06,42,126,1,3,7,27,3,1,2026-05-31 00:00:00,2026-06-02 00:00:00,2026-06-03 00:00:00,13.025056,77.534781,"The complainant received a call from an unknown person claiming to be a bank official, who obtained OTP details and transferred Rs 436,000 from the complainant's account."
9,100050116202500001,202500001,2025-10-24,10,116,1,2,3,13,1,,2025-10-24 00:00:00,2025-10-25 00:00:00,2025-10-24 00:00:00,13.064951,77.654755,The complainant reported that her in-laws made unwelcome advances and passed lewd remarks towards her near Ring Road.
10,400090135202400001,202400001,2024-12-08,11,135,4,1,2,6,2,10,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,13.293054,75.778279,"The complainant's laptop was stolen from outside their residence at College Road, valued at approximately Rs 165,000."
11,400110144202500001,202500001,2025-01-08,91,144,4,1,2,6,7,1,2025-01-07 00:00:00,2025-01-08 00:00:00,2025-01-08 00:00:00,12.86162,74.886097,"The complainant's two-wheeler was stolen from outside their residence at College Road, valued at approximately Rs 361,000."
12,100050127202500001,202500001,2025-08-20,78,127,1,2,2,9,2,36,2025-08-16 00:00:00,2025-08-18 00:00:00,2025-08-19 00:00:00,13.073912,77.645142,"Unknown persons broke into the complainant's premises at Gandhi Nagar at night and decamped with valuables worth Rs 207,000."
